Optical constants n+ik of olivine (z-orientation, E||z) of natural single crystal olivine
from the University of Freiberg 

A(1/cm)	n.z	k.z
3464.347	1.613631	0.000084
3465.567	1.613648	0.000084
3466.788	1.613665	0.000083
3468.009	1.613683	0.000083
3469.229	1.6137	0.000083
3470.45	1.613717	0.000083
3471.671	1.613734	0.000083
3472.891	1.613752	0.000083
3474.112	1.613769	0.000083
3475.333	1.613786	0.000083
3476.554	1.613803	0.000083
3477.774	1.61382	0.000083
3478.995	1.613837	0.000083
3480.216	1.613854	0.000082
3481.436	1.613871	0.000082
3482.657	1.613889	0.000082
3483.878	1.613906	0.000082
3485.098	1.613923	0.000082
3486.319	1.61394	0.000082
3487.54	1.613957	0.000082
3488.761	1.613973	0.000082
3489.981	1.613991	0.000082
3491.202	1.614007	0.000082
3492.423	1.614024	0.000082
3493.643	1.614041	0.000081
3494.864	1.614058	0.000081
3496.085	1.614075	0.000081
3497.305	1.614092	0.000081
3498.526	1.614109	0.000081
3499.747	1.614125	0.000081
3500.968	1.614142	0.000081
3502.188	1.614159	0.000081
3503.409	1.614176	0.000081
3504.63	1.614192	0.000081
3505.85	1.614209	0.000081
3507.071	1.614226	0.00008
3508.292	1.614243	0.00008
3509.512	1.614259	0.00008
3510.733	1.614276	0.00008
3511.954	1.614293	0.00008
3513.175	1.614309	0.00008
3514.395	1.614326	0.00008
3515.616	1.614342	0.00008
3516.837	1.614359	0.00008
3518.057	1.614375	0.00008
3519.278	1.614392	0.00008
3520.499	1.614408	0.000079
3521.719	1.614425	0.000079
3522.94	1.614441	0.000079
3524.161	1.614458	0.000079
3525.382	1.614474	0.000079
3526.602	1.61449	0.000079
3527.823	1.614507	0.000079
3529.044	1.614523	0.000079
3530.264	1.61454	0.000079
3531.485	1.614556	0.000079
3532.706	1.614572	0.000079
3533.926	1.614588	0.000079
3535.147	1.614605	0.000078
3536.368	1.614621	0.000078
3537.589	1.614637	0.000078
3538.809	1.614653	0.000078
3540.03	1.61467	0.000078
3541.251	1.614686	0.000078
3542.471	1.614702	0.000078
3543.692	1.614718	0.000078
3544.913	1.614734	0.000078
3546.133	1.61475	0.000078
3547.354	1.614766	0.000078
3548.575	1.614782	0.000077
3549.796	1.614798	0.000077
3551.016	1.614815	0.000077
3552.237	1.61483	0.000077
3553.458	1.614846	0.000077
3554.678	1.614863	0.000077
3555.899	1.614878	0.000077
3557.12	1.614894	0.000077
3558.34	1.61491	0.000077
3559.561	1.614926	0.000077
3560.782	1.614942	0.000077
3562.003	1.614958	0.000077
3563.223	1.614974	0.000076
3564.444	1.61499	0.000076
3565.665	1.615006	0.000076
3566.885	1.615021	0.000076
3568.106	1.615037	0.000076
3569.327	1.615053	0.000076
3570.547	1.615069	0.000076
3571.768	1.615085	0.000076
3572.989	1.6151	0.000076
3574.21	1.615116	0.000076
3575.43	1.615132	0.000076
3576.651	1.615147	0.000076
3577.872	1.615163	0.000075
3579.092	1.615179	0.000075
3580.313	1.615194	0.000075
3581.534	1.61521	0.000075
3582.754	1.615225	0.000075
3583.975	1.615241	0.000075
3585.196	1.615257	0.000075
3586.417	1.615272	0.000075
3587.637	1.615288	0.000075
3588.858	1.615303	0.000075
3590.079	1.615319	0.000075
3591.299	1.615334	0.000075
3592.52	1.61535	0.000074
3593.741	1.615365	0.000074
3594.961	1.61538	0.000074
3596.182	1.615396	0.000074
3597.403	1.615411	0.000074
3598.624	1.615426	0.000074
3599.844	1.615442	0.000074
3601.065	1.615457	0.000074
3602.286	1.615473	0.000074
3603.506	1.615488	0.000074
3604.727	1.615503	0.000074
3605.948	1.615518	0.000074
3607.168	1.615534	0.000073
3608.389	1.615549	0.000073
3609.61	1.615564	0.000073
3610.831	1.615579	0.000073
3612.051	1.615595	0.000073
3613.272	1.61561	0.000073
3614.493	1.615625	0.000073
3615.713	1.61564	0.000073
3616.934	1.615655	0.000073
3618.155	1.61567	0.000073
3619.375	1.615685	0.000073
3620.596	1.6157	0.000073
3621.817	1.615715	0.000073
3623.038	1.61573	0.000072
3624.258	1.615745	0.000072
3625.479	1.615761	0.000072
3626.7	1.615775	0.000072
3627.92	1.61579	0.000072
3629.141	1.615805	0.000072
3630.362	1.61582	0.000072
3631.582	1.615835	0.000072
3632.803	1.61585	0.000072
3634.024	1.615865	0.000072
3635.245	1.61588	0.000072
3636.465	1.615895	0.000072
3637.686	1.61591	0.000072
3638.907	1.615924	0.000071
3640.127	1.615939	0.000071
3641.348	1.615954	0.000071
3642.569	1.615969	0.000071
3643.789	1.615984	0.000071
3645.01	1.615999	0.000071
3646.231	1.616013	0.000071
3647.452	1.616028	0.000071
3648.672	1.616043	0.000071
3649.893	1.616057	0.000071
3651.114	1.616072	0.000071
3652.334	1.616087	0.000071
3653.555	1.616101	0.000071
3654.776	1.616116	0.00007
3655.996	1.616131	0.00007
3657.217	1.616145	0.00007
3658.438	1.61616	0.00007
3659.659	1.616174	0.00007
3660.879	1.616189	0.00007
3662.1	1.616203	0.00007
3663.321	1.616218	0.00007
3664.541	1.616233	0.00007
3665.762	1.616247	0.00007
3666.983	1.616261	0.00007
3668.203	1.616276	0.00007
3669.424	1.61629	0.00007
3670.645	1.616305	0.00007
3671.866	1.616319	0.000069
3673.086	1.616333	0.000069
3674.307	1.616348	0.000069
3675.528	1.616362	0.000069
3676.748	1.616377	0.000069
3677.969	1.616391	0.000069
3679.19	1.616405	0.000069
3680.41	1.61642	0.000069
3681.631	1.616434	0.000069
3682.852	1.616448	0.000069
3684.073	1.616462	0.000069
3685.293	1.616477	0.000069
3686.514	1.616491	0.000069
3687.735	1.616505	0.000068
3688.955	1.616519	0.000068
3690.176	1.616534	0.000068
3691.397	1.616548	0.000068
3692.617	1.616562	0.000068
3693.838	1.616576	0.000068
3695.059	1.61659	0.000068
3696.28	1.616604	0.000068
3697.5	1.616618	0.000068
3698.721	1.616632	0.000068
3699.942	1.616647	0.000068
3701.162	1.616661	0.000068
3702.383	1.616675	0.000068
3703.604	1.616689	0.000068
3704.824	1.616703	0.000068
3706.045	1.616717	0.000067
3707.266	1.616731	0.000067
3708.487	1.616745	0.000067
3709.707	1.616759	0.000067
3710.928	1.616773	0.000067
3712.149	1.616786	0.000067
3713.369	1.6168	0.000067
3714.59	1.616814	0.000067
3715.811	1.616828	0.000067
3717.031	1.616842	0.000067
3718.252	1.616856	0.000067
3719.473	1.61687	0.000067
3720.694	1.616884	0.000067
3721.914	1.616897	0.000067
3723.135	1.616911	0.000066
3724.356	1.616925	0.000066
3725.576	1.616939	0.000066
3726.797	1.616952	0.000066
3728.018	1.616966	0.000066
3729.238	1.61698	0.000066
3730.459	1.616994	0.000066
3731.68	1.617007	0.000066
3732.901	1.617021	0.000066
3734.121	1.617035	0.000066
3735.342	1.617048	0.000066
3736.563	1.617062	0.000066
3737.783	1.617076	0.000066
3739.004	1.617089	0.000066
3740.225	1.617103	0.000066
3741.445	1.617116	0.000065
3742.666	1.61713	0.000065
3743.887	1.617143	0.000065
3745.108	1.617157	0.000065
3746.328	1.61717	0.000065
3747.549	1.617184	0.000065
3748.77	1.617198	0.000065
3749.99	1.617211	0.000065
3751.211	1.617224	0.000065
3752.432	1.617238	0.000065
3753.652	1.617251	0.000065
3754.873	1.617265	0.000065
3756.094	1.617278	0.000065
3757.315	1.617292	0.000065
3758.535	1.617305	0.000065
3759.756	1.617318	0.000064
3760.977	1.617332	0.000064
3762.197	1.617345	0.000064
3763.418	1.617358	0.000064
3764.639	1.617372	0.000064
3765.859	1.617385	0.000064
3767.08	1.617398	0.000064
3768.301	1.617412	0.000064
3769.522	1.617425	0.000064
3770.742	1.617438	0.000064
3771.963	1.617451	0.000064
3773.184	1.617465	0.000064
3774.404	1.617478	0.000064
3775.625	1.617491	0.000064
3776.846	1.617504	0.000064
3778.066	1.617517	0.000064
3779.287	1.61753	0.000063
3780.508	1.617544	0.000063
3781.729	1.617557	0.000063
3782.949	1.61757	0.000063
3784.17	1.617583	0.000063
3785.391	1.617596	0.000063
3786.611	1.617609	0.000063
3787.832	1.617622	0.000063
3789.053	1.617635	0.000063
3790.273	1.617648	0.000063
3791.494	1.617661	0.000063
3792.715	1.617674	0.000063
3793.936	1.617687	0.000063
3795.156	1.6177	0.000063
3796.377	1.617713	0.000063
3797.598	1.617726	0.000063
3798.818	1.617739	0.000062
3800.039	1.617752	0.000062
3801.26	1.617765	0.000062
3802.48	1.617778	0.000062
3803.701	1.617791	0.000062
3804.922	1.617804	0.000062
3806.143	1.617816	0.000062
3807.363	1.617829	0.000062
3808.584	1.617842	0.000062
3809.805	1.617855	0.000062
3811.025	1.617868	0.000062
3812.246	1.617881	0.000062
3813.467	1.617893	0.000062
3814.687	1.617906	0.000062
3815.908	1.617919	0.000062
3817.129	1.617932	0.000062
3818.35	1.617944	0.000061
3819.57	1.617957	0.000061
3820.791	1.61797	0.000061
3822.012	1.617983	0.000061
3823.232	1.617995	0.000061
3824.453	1.618008	0.000061
3825.674	1.618021	0.000061
3826.894	1.618033	0.000061
3828.115	1.618046	0.000061
3829.336	1.618058	0.000061
3830.557	1.618071	0.000061
3831.777	1.618084	0.000061
3832.998	1.618096	0.000061
3834.219	1.618109	0.000061
3835.439	1.618121	0.000061
3836.66	1.618134	0.00006
3837.881	1.618146	0.00006
3839.101	1.618159	0.00006
3840.322	1.618171	0.00006
3841.543	1.618184	0.00006
3842.764	1.618196	0.00006
3843.984	1.618209	0.00006
3845.205	1.618221	0.00006
3846.426	1.618234	0.00006
3847.646	1.618246	0.00006
3848.867	1.618259	0.00006
3850.088	1.618271	0.00006
3851.308	1.618283	0.00006
3852.529	1.618296	0.00006
3853.75	1.618308	0.00006
3854.971	1.61832	0.00006
3856.191	1.618333	0.000059
3857.412	1.618345	0.000059
3858.633	1.618357	0.000059
3859.853	1.61837	0.000059
3861.074	1.618382	0.000059
3862.295	1.618394	0.000059
3863.515	1.618407	0.000059
3864.736	1.618419	0.000059
3865.957	1.618431	0.000059
3867.178	1.618443	0.000059
3868.398	1.618456	0.000059
3869.619	1.618468	0.000059
3870.84	1.61848	0.000059
3872.06	1.618492	0.000059
3873.281	1.618504	0.000059
3874.502	1.618516	0.000059
3875.722	1.618529	0.000059
3876.943	1.618541	0.000059
3878.164	1.618553	0.000059
3879.385	1.618565	0.000058
3880.605	1.618577	0.000058
3881.826	1.618589	0.000058
3883.047	1.618601	0.000058
3884.267	1.618613	0.000058
3885.488	1.618625	0.000058
3886.709	1.618637	0.000058
3887.929	1.618649	0.000058
3889.15	1.618661	0.000058
3890.371	1.618673	0.000058
3891.592	1.618685	0.000058
3892.812	1.618697	0.000058
3894.033	1.618709	0.000058
3895.254	1.618721	0.000058
3896.474	1.618733	0.000058
3897.695	1.618745	0.000058
3898.916	1.618757	0.000058
3900.136	1.618769	0.000058
3901.357	1.618781	0.000057
3902.578	1.618793	0.000057
3903.799	1.618805	0.000057
3905.019	1.618816	0.000057
3906.24	1.618828	0.000057
3907.461	1.61884	0.000057
3908.681	1.618852	0.000057
3909.902	1.618864	0.000057
3911.123	1.618876	0.000057
3912.343	1.618887	0.000057
3913.564	1.618899	0.000057
3914.785	1.618911	0.000057
3916.006	1.618923	0.000057
3917.226	1.618935	0.000057
3918.447	1.618946	0.000057
3919.668	1.618958	0.000057
3920.888	1.61897	0.000057
3922.109	1.618981	0.000056
3923.33	1.618993	0.000056
3924.55	1.619005	0.000056
3925.771	1.619016	0.000056
3926.992	1.619028	0.000056
3928.213	1.61904	0.000056
3929.433	1.619051	0.000056
3930.654	1.619063	0.000056
3931.875	1.619074	0.000056
3933.095	1.619086	0.000056
3934.316	1.619098	0.000056
3935.537	1.619109	0.000056
3936.757	1.619121	0.000056
3937.978	1.619132	0.000056
3939.199	1.619144	0.000056
3940.42	1.619155	0.000056
3941.64	1.619167	0.000056
3942.861	1.619178	0.000056
3944.082	1.61919	0.000056
3945.302	1.619201	0.000055
3946.523	1.619213	0.000055
3947.744	1.619224	0.000055
3948.964	1.619236	0.000055
3950.185	1.619247	0.000055
3951.406	1.619259	0.000055
3952.627	1.61927	0.000055
3953.847	1.619282	0.000055
3955.068	1.619293	0.000055
3956.289	1.619304	0.000055
3957.509	1.619316	0.000055
3958.73	1.619327	0.000055
3959.951	1.619338	0.000055
3961.171	1.61935	0.000055
3962.392	1.619361	0.000055
3963.613	1.619372	0.000055
3964.834	1.619384	0.000055
3966.054	1.619395	0.000055
3967.275	1.619406	0.000055
3968.496	1.619418	0.000054
3969.716	1.619429	0.000054
3970.937	1.61944	0.000054
3972.158	1.619451	0.000054
3973.378	1.619462	0.000054
3974.599	1.619474	0.000054
3975.82	1.619485	0.000054
3977.041	1.619496	0.000054
3978.261	1.619507	0.000054
3979.482	1.619518	0.000054
3980.703	1.61953	0.000054
3981.923	1.619541	0.000054
3983.144	1.619552	0.000054
3984.365	1.619563	0.000054
3985.585	1.619574	0.000054
3986.806	1.619585	0.000054
3988.027	1.619596	0.000054
3989.248	1.619607	0.000053
3990.468	1.619619	0.000053
3991.689	1.61963	0.000053
3992.91	1.619641	0.000053
3994.13	1.619652	0.000053
3995.351	1.619663	0.000053
3996.572	1.619674	0.000053
3997.792	1.619685	0.000053
3999.013	1.619696	0.000053
4000.234	1.619707	0.000053
4001.455	1.619718	0.000053
4002.675	1.619729	0.000053
4003.896	1.61974	0.000053
4005.117	1.619751	0.000053
4006.337	1.619762	0.000053
4007.558	1.619773	0.000053
4008.779	1.619784	0.000053
4009.999	1.619794	0.000053
4011.22	1.619805	0.000053
4012.441	1.619816	0.000053
4013.662	1.619827	0.000052
4014.882	1.619838	0.000052
4016.103	1.619849	0.000052
4017.324	1.61986	0.000052
4018.544	1.61987	0.000052
4019.765	1.619881	0.000052
4020.986	1.619892	0.000052
4022.206	1.619903	0.000052
4023.427	1.619914	0.000052
4024.648	1.619924	0.000052
4025.869	1.619935	0.000052
4027.089	1.619946	0.000052
4028.31	1.619957	0.000052
4029.531	1.619967	0.000052
4030.751	1.619978	0.000052
4031.972	1.619989	0.000052
4033.193	1.62	0.000052
4034.413	1.62001	0.000052
4035.634	1.620021	0.000052
4036.855	1.620032	0.000052
4038.076	1.620042	0.000051
4039.296	1.620053	0.000051
4040.517	1.620064	0.000051
4041.738	1.620074	0.000051
4042.958	1.620085	0.000051
4044.179	1.620096	0.000051
4045.4	1.620106	0.000051
4046.62	1.620117	0.000051
4047.841	1.620127	0.000051
4049.062	1.620138	0.000051
4050.283	1.620149	0.000051
4051.503	1.620159	0.000051
4052.724	1.62017	0.000051
4053.945	1.62018	0.000051
4055.165	1.620191	0.000051
4056.386	1.620201	0.000051
4057.607	1.620212	0.000051
4058.827	1.620222	0.000051
4060.048	1.620233	0.000051
4061.269	1.620243	0.000051
4062.49	1.620254	0.000051
4063.71	1.620264	0.00005
4064.931	1.620275	0.00005
4066.152	1.620285	0.00005
4067.372	1.620296	0.00005
4068.593	1.620306	0.00005
4069.814	1.620316	0.00005
4071.034	1.620327	0.00005
4072.255	1.620337	0.00005
4073.476	1.620347	0.00005
4074.697	1.620358	0.00005
4075.917	1.620368	0.00005
4077.138	1.620379	0.00005
4078.359	1.620389	0.00005
4079.579	1.620399	0.00005
4080.8	1.62041	0.00005
4082.021	1.62042	0.00005
4083.241	1.62043	0.00005
4084.462	1.620441	0.00005
4085.683	1.620451	0.00005
4086.904	1.620461	0.00005
4088.124	1.620471	0.00005
4089.345	1.620482	0.000049
4090.566	1.620492	0.000049
4091.786	1.620502	0.000049
4093.007	1.620512	0.000049
4094.228	1.620523	0.000049
4095.448	1.620533	0.000049
4096.669	1.620543	0.000049
4097.89	1.620553	0.000049
4099.111	1.620563	0.000049
4100.331	1.620574	0.000049
4101.552	1.620584	0.000049
4102.773	1.620594	0.000049
4103.993	1.620604	0.000049
4105.214	1.620614	0.000049
4106.435	1.620624	0.000049
4107.655	1.620634	0.000049
4108.876	1.620644	0.000049
4110.097	1.620655	0.000049
4111.318	1.620665	0.000049
4112.538	1.620675	0.000049
4113.759	1.620685	0.000049
4114.98	1.620695	0.000049
4116.2	1.620705	0.000048
4117.421	1.620715	0.000048
4118.642	1.620725	0.000048
4119.862	1.620735	0.000048
4121.083	1.620745	0.000048
4122.304	1.620755	0.000048
4123.525	1.620765	0.000048
4124.745	1.620775	0.000048
4125.966	1.620785	0.000048
4127.187	1.620795	0.000048
4128.407	1.620805	0.000048
4129.628	1.620815	0.000048
4130.849	1.620825	0.000048
4132.069	1.620835	0.000048
4133.29	1.620845	0.000048
4134.511	1.620854	0.000048
4135.732	1.620864	0.000048
4136.952	1.620874	0.000048
4138.173	1.620884	0.000048
4139.394	1.620894	0.000048
4140.614	1.620904	0.000048
4141.835	1.620914	0.000048
4143.056	1.620924	0.000048
4144.276	1.620933	0.000048
4145.497	1.620943	0.000048
4146.718	1.620953	0.000047
4147.939	1.620963	0.000047
4149.159	1.620973	0.000047
4150.38	1.620983	0.000047
4151.601	1.620992	0.000047
4152.821	1.621002	0.000047
4154.042	1.621012	0.000047
4155.263	1.621022	0.000047
4156.483	1.621031	0.000047
4157.704	1.621041	0.000047
4158.925	1.621051	0.000047
4160.146	1.62106	0.000047
4161.366	1.62107	0.000047
4162.587	1.62108	0.000047
4163.808	1.62109	0.000047
4165.028	1.621099	0.000047
4166.249	1.621109	0.000047
4167.47	1.621119	0.000047
4168.69	1.621128	0.000047
4169.911	1.621138	0.000047
4171.132	1.621148	0.000047
4172.353	1.621157	0.000047
4173.573	1.621167	0.000047
4174.794	1.621176	0.000046
4176.015	1.621186	0.000046
4177.235	1.621196	0.000046
4178.456	1.621205	0.000046
4179.677	1.621215	0.000046
4180.897	1.621224	0.000046
4182.118	1.621234	0.000046
4183.339	1.621243	0.000046
4184.56	1.621253	0.000046
4185.78	1.621263	0.000046
4187.001	1.621272	0.000046
4188.222	1.621282	0.000046
4189.442	1.621291	0.000046
4190.663	1.621301	0.000046
4191.884	1.62131	0.000046
4193.104	1.62132	0.000046
4194.325	1.621329	0.000046
4195.546	1.621338	0.000046
4196.767	1.621348	0.000046
4197.987	1.621357	0.000046
4199.208	1.621367	0.000046
4200.429	1.621376	0.000046
4201.649	1.621386	0.000046
4202.87	1.621395	0.000046
4204.091	1.621405	0.000045
4205.311	1.621414	0.000045
4206.532	1.621423	0.000045
4207.753	1.621433	0.000045
4208.974	1.621442	0.000045
4210.194	1.621451	0.000045
4211.415	1.621461	0.000045
4212.636	1.62147	0.000045
4213.856	1.621479	0.000045
4215.077	1.621489	0.000045
4216.298	1.621498	0.000045
4217.518	1.621507	0.000045
4218.739	1.621517	0.000045
4219.96	1.621526	0.000045
4221.181	1.621535	0.000045
4222.401	1.621544	0.000045
4223.622	1.621554	0.000045
4224.843	1.621563	0.000045
4226.063	1.621572	0.000045
4227.284	1.621582	0.000045
4228.505	1.621591	0.000045
4229.725	1.6216	0.000045
4230.946	1.621609	0.000045
4232.167	1.621618	0.000045
4233.388	1.621628	0.000044
4234.608	1.621637	0.000044
4235.829	1.621646	0.000044
4237.05	1.621655	0.000044
4238.27	1.621664	0.000044
4239.491	1.621673	0.000044
4240.712	1.621683	0.000044
4241.932	1.621692	0.000044
4243.153	1.621701	0.000044
4244.374	1.62171	0.000044
4245.595	1.621719	0.000044
4246.815	1.621728	0.000044
4248.036	1.621737	0.000044
4249.257	1.621746	0.000044
4250.477	1.621755	0.000044
4251.698	1.621765	0.000044
4252.919	1.621774	0.000044
4254.139	1.621783	0.000044
4255.36	1.621792	0.000044
4256.581	1.621801	0.000044
4257.802	1.62181	0.000044
4259.022	1.621819	0.000044
4260.243	1.621828	0.000044
4261.464	1.621837	0.000044
4262.684	1.621846	0.000044
4263.905	1.621855	0.000044
4265.126	1.621864	0.000043
4266.346	1.621873	0.000043
4267.567	1.621882	0.000043
4268.788	1.621891	0.000043
4270.009	1.6219	0.000043
4271.229	1.621909	0.000043
4272.45	1.621918	0.000043
4273.671	1.621927	0.000043
4274.891	1.621935	0.000043
4276.112	1.621945	0.000043
4277.333	1.621953	0.000043
4278.553	1.621962	0.000043
4279.774	1.621971	0.000043
4280.995	1.62198	0.000043
4282.216	1.621989	0.000043
4283.436	1.621998	0.000043
4284.657	1.622007	0.000043
4285.878	1.622015	0.000043
4287.098	1.622024	0.000043
4288.319	1.622033	0.000043
4289.54	1.622042	0.000043
4290.76	1.622051	0.000043
4291.981	1.62206	0.000043
4293.202	1.622069	0.000042
4294.423	1.622077	0.000042
4295.643	1.622086	0.000042
4296.864	1.622095	0.000042
4298.085	1.622104	0.000042
4299.305	1.622112	0.000042
4300.526	1.622121	0.000042
4301.747	1.62213	0.000042
4302.967	1.622139	0.000042
4304.188	1.622147	0.000042
4305.409	1.622156	0.000042
4306.63	1.622165	0.000042
4307.85	1.622174	0.000042
4309.071	1.622182	0.000042
4310.292	1.622191	0.000042
4311.512	1.6222	0.000042
4312.733	1.622208	0.000042
4313.954	1.622217	0.000042
4315.174	1.622226	0.000042
4316.395	1.622234	0.000042
4317.616	1.622243	0.000042
4318.837	1.622252	0.000042
4320.057	1.62226	0.000042
4321.278	1.622269	0.000042
4322.499	1.622277	0.000042
4323.719	1.622286	0.000042
4324.94	1.622295	0.000042
4326.161	1.622303	0.000041
4327.381	1.622312	0.000041
4328.602	1.62232	0.000041
4329.823	1.622329	0.000041
4331.044	1.622338	0.000041
4332.264	1.622346	0.000041
4333.485	1.622355	0.000041
4334.706	1.622363	0.000041
4335.926	1.622372	0.000041
4337.147	1.62238	0.000041
4338.368	1.622389	0.000041
4339.588	1.622397	0.000041
4340.809	1.622406	0.000041
4342.03	1.622414	0.000041
4343.251	1.622423	0.000041
4344.471	1.622431	0.000041
4345.692	1.62244	0.000041
4346.913	1.622448	0.000041
4348.133	1.622457	0.000041
4349.354	1.622465	0.000041
4350.575	1.622474	0.000041
4351.795	1.622482	0.000041
4353.016	1.622491	0.000041
4354.237	1.622499	0.000041
4355.458	1.622507	0.000041
4356.678	1.622516	0.000041
4357.899	1.622524	0.000041
4359.12	1.622533	0.000041
4360.34	1.622541	0.00004
4361.561	1.622549	0.00004
4362.782	1.622558	0.00004
4364.002	1.622566	0.00004
4365.223	1.622574	0.00004
4366.444	1.622583	0.00004
4367.665	1.622591	0.00004
4368.885	1.622599	0.00004
4370.106	1.622608	0.00004
4371.327	1.622616	0.00004
4372.547	1.622625	0.00004
4373.768	1.622633	0.00004
4374.989	1.622641	0.00004
4376.209	1.622649	0.00004
4377.43	1.622658	0.00004
4378.651	1.622666	0.00004
4379.872	1.622674	0.00004
4381.092	1.622682	0.00004
4382.313	1.622691	0.00004
4383.534	1.622699	0.00004
4384.754	1.622707	0.00004
4385.975	1.622715	0.00004
4387.196	1.622724	0.00004
4388.416	1.622732	0.00004
4389.637	1.62274	0.00004
4390.858	1.622748	0.00004
4392.079	1.622757	0.00004
4393.299	1.622765	0.00004
4394.52	1.622773	0.00004
4395.741	1.622781	0.000039
4396.961	1.622789	0.000039
4398.182	1.622797	0.000039
4399.403	1.622806	0.000039
4400.623	1.622814	0.000039
4401.844	1.622822	0.000039
4403.065	1.62283	0.000039
4404.286	1.622838	0.000039
4405.506	1.622846	0.000039
4406.727	1.622854	0.000039
4407.948	1.622862	0.000039
4409.168	1.622871	0.000039
4410.389	1.622879	0.000039
4411.61	1.622887	0.000039
4412.83	1.622895	0.000039
4414.051	1.622903	0.000039
4415.272	1.622911	0.000039
4416.493	1.622919	0.000039
4417.713	1.622927	0.000039
4418.934	1.622935	0.000039
4420.155	1.622943	0.000039
4421.375	1.622951	0.000039
4422.596	1.622959	0.000039
4423.817	1.622967	0.000039
4425.037	1.622975	0.000039
4426.258	1.622983	0.000039
4427.479	1.622991	0.000039
4428.7	1.622999	0.000039
4429.92	1.623007	0.000039
4431.141	1.623015	0.000038
4432.362	1.623023	0.000038
4433.582	1.623031	0.000038
4434.803	1.623039	0.000038
4436.024	1.623047	0.000038
4437.244	1.623055	0.000038
4438.465	1.623063	0.000038
4439.686	1.623071	0.000038
4440.907	1.623079	0.000038
4442.127	1.623087	0.000038
4443.348	1.623095	0.000038
4444.569	1.623103	0.000038
4445.789	1.623111	0.000038
4447.01	1.623118	0.000038
4448.231	1.623126	0.000038
4449.451	1.623134	0.000038
4450.672	1.623142	0.000038
4451.893	1.62315	0.000038
4453.114	1.623158	0.000038
4454.334	1.623166	0.000038
4455.555	1.623173	0.000038
4456.776	1.623181	0.000038
4457.996	1.623189	0.000038
4459.217	1.623197	0.000038
4460.438	1.623205	0.000038
4461.658	1.623212	0.000038
4462.879	1.62322	0.000038
4464.1	1.623228	0.000038
4465.321	1.623236	0.000038
4466.541	1.623244	0.000038
4467.762	1.623251	0.000038
4468.983	1.623259	0.000038
4470.203	1.623267	0.000038
4471.424	1.623275	0.000038
4472.645	1.623282	0.000037
4473.865	1.62329	0.000037
4475.086	1.623298	0.000037
4476.307	1.623306	0.000037
4477.528	1.623313	0.000037
4478.748	1.623321	0.000037
4479.969	1.623329	0.000037
4481.19	1.623337	0.000037
4482.41	1.623344	0.000037
4483.631	1.623352	0.000037
4484.852	1.62336	0.000037
4486.072	1.623367	0.000037
4487.293	1.623375	0.000037
4488.514	1.623383	0.000037
4489.735	1.62339	0.000037
4490.955	1.623398	0.000037
4492.176	1.623406	0.000037
4493.397	1.623413	0.000037
4494.617	1.623421	0.000037
4495.838	1.623428	0.000037
4497.059	1.623436	0.000037
4498.279	1.623444	0.000037
4499.5	1.623451	0.000037
4500.721	1.623459	0.000037
4501.942	1.623466	0.000037
4503.162	1.623474	0.000037
4504.383	1.623482	0.000037
4505.604	1.623489	0.000037
4506.824	1.623497	0.000037
4508.045	1.623504	0.000037
4509.266	1.623512	0.000037
4510.486	1.623519	0.000037
4511.707	1.623527	0.000036
4512.928	1.623534	0.000036
4514.149	1.623542	0.000036
4515.369	1.62355	0.000036
4516.59	1.623557	0.000036
4517.811	1.623565	0.000036
4519.031	1.623572	0.000036
4520.252	1.62358	0.000036
4521.473	1.623587	0.000036
4522.693	1.623595	0.000036
4523.914	1.623602	0.000036
4525.135	1.62361	0.000036
4526.356	1.623617	0.000036
4527.576	1.623624	0.000036
4528.797	1.623632	0.000036
4530.018	1.623639	0.000036
4531.238	1.623647	0.000036
4532.459	1.623654	0.000036
4533.68	1.623662	0.000036
4534.9	1.623669	0.000036
4536.121	1.623677	0.000036
4537.342	1.623684	0.000036
4538.563	1.623691	0.000036
4539.783	1.623699	0.000036
4541.004	1.623706	0.000036
4542.225	1.623713	0.000036
4543.445	1.623721	0.000036
4544.666	1.623728	0.000036
4545.887	1.623736	0.000036
4547.107	1.623743	0.000036
4548.328	1.62375	0.000036
4549.549	1.623758	0.000036
4550.77	1.623765	0.000036
4551.99	1.623772	0.000036
4553.211	1.62378	0.000035
4554.432	1.623787	0.000035
4555.652	1.623794	0.000035
4556.873	1.623802	0.000035
4558.094	1.623809	0.000035
4559.314	1.623816	0.000035
4560.535	1.623824	0.000035
4561.756	1.623831	0.000035
4562.977	1.623838	0.000035
4564.197	1.623845	0.000035
4565.418	1.623853	0.000035
4566.639	1.62386	0.000035
4567.859	1.623867	0.000035
4569.08	1.623874	0.000035
4570.301	1.623882	0.000035
4571.521	1.623889	0.000035
4572.742	1.623896	0.000035
4573.963	1.623903	0.000035
4575.184	1.623911	0.000035
4576.404	1.623918	0.000035
4577.625	1.623925	0.000035
4578.846	1.623932	0.000035
4580.066	1.623939	0.000035
4581.287	1.623947	0.000035
4582.508	1.623954	0.000035
4583.728	1.623961	0.000035
4584.949	1.623968	0.000035
4586.17	1.623975	0.000035
4587.391	1.623982	0.000035
4588.611	1.62399	0.000035
4589.832	1.623997	0.000035
4591.053	1.624004	0.000035
4592.273	1.624011	0.000035
4593.494	1.624018	0.000035
4594.715	1.624025	0.000034
4595.935	1.624032	0.000034
4597.156	1.62404	0.000034
